Chrom	Start	End	GeneID	GeneName
1	6231188	6291359	388591	RNF207
1	6235079	6294679	6146	RPL22
1	6269251	6315638	390992	HES3
1	6271252	6331044	23463	ICMT
1	6297405	6356035	387509	GPR153
1	6314331	6488826	11332	ACOT7
1	6449847	6531004	83715	ESPN
1	6465293	6514979	54626	HES2
1	6511213	6561255	8718	TNFRSF25
1	6516151	6615121	57449	PLEKHG5
1	6571406	6649658	79707	NOL9
1	6580337	6649817	80835	TAS1R1
1	6605050	6659340	3104	ZBTB48
1	6638755	6694093	148479	PHF13
1	6640783	6697958	9903	KLHL21
1	6649924	6705646	90326	THAP3
1	6684227	6796966	55735	DNAJC11
1	6810383	7839766	23261	CAMTA1
1	7796328	7851492	9341	VAMP3
1	7809488	7915240	8863	PER3
1	7897671	7948551	10911	UTS2
1	7965930	8038225	3604	TNFRSF9
1	7986713	8055342	11315	PARK7
1	8061778	8121393	54206	ERRFI1
1	8343144	8414227	50651	SLC45A1
1	8402463	8912699	473	RERE
1	8911058	8974151	2023	ENO1
1	8970892	9045148	765	CA6
1	9053358	9121404	155184	SLC2A7
1	9087004	9164887	6518	SLC2A5
1	9154475	9224229	80045	GPR157
1	9259862	9341394	9563	H6PD
1	9317940	9439590	80176	SPSB1
1	9564527	9652831	84275	SLC25A33
1	9613931	9684935	199953	TMEM201
1	9676789	9799172	5293	PIK3CD
1	9779078	9919584	22883	CLSTN1
1	9898333	10005316	56998	CTNNBIP1
1	9967980	10055556	64802	NMNAT1
1	9979775	10037826	84328	LZIC
1	10022254	10086078	116362	RBP7
1	10058040	10251296	10277	UBE4B
1	10235763	10451661	23095	KIF1B
1	10424048	10490568	5226	PGD
1	10455158	10512872	378708	APITD1
1	10455158	10522060	100526739	APITD1-CORT
1	10474775	10522060	1325	CORT
1	10500002	10700815	5195	PEX14
1	10510602	10567613	1676	DFFA
1	10686665	10891733	54897	CASZ1
1	10996529	11077094	148345	C1orf127
1	11037678	11095549	23435	TARDBP
1	11076579	11142296	10747	MASP2
1	11104648	11155091	6723	SRM
1	11116669	11194967	5394	EXOSC10
1	11156587	11357608	2475	MTOR
1	11214345	11266038	10218	ANGPTL7
1	11298254	11358491	29914	UBIAD1
1	11504294	11607640	57540	PTCHD2
1	11679431	11733384	93611	FBXO44
1	11689149	11744409	26270	FBXO6
1	11698417	11749888	26232	FBXO2
1	11716780	11790336	374946	DRAXIN
1	11724536	11786678	10459	MAD2L2
1	11761141	11820828	57085	AGTRAP
1	11787249	11859642	284498	C1orf167
1	11831152	11913201	1185	CLCN6
1	11835786	11901160	4524	MTHFR
1	11895766	11942840	4878	NPPA
1	11907520	11953992	4879	NPPB
1	11959723	12045599	5351	PLOD1
1	11969644	12021485	90231	KIAA2013
1	12005237	12083572	9927	MFN2
1	12044298	12102106	60672	MIIP
1	12088433	12214264	943	TNFRSF8
1	12192059	12279277	7133	TNFRSF1B
1	12255095	12582098	55187	VPS13D
1	12617938	12712737	9249	DHRS3
1	12669565	12737097	343066	AADACL4
1	12741117	12798726	126767	AADACL3
1	12771133	12831102	93190	C1orf158
1	12799990	12848048	390999	PRAMEF12
1	12816545	12866777	65121	PRAMEF1
1	12874617	12926264	440560	PRAMEF11
1	12881940	12931764	65122	PRAMEF2
1	12897229	12943157	101060301	HNRNPCL4
1	12897229	12943235	649330	HNRNPCL3
1	12897229	12943609	343069	HNRNPCL1
1	12929032	12981025	400735	PRAMEF4
1	12988504	13037353	343070	PRAMEF9
1	13172959	13219326	440563	HNRNPCL2
1	13460253	13508259	654348	PRAMEF16
1	13791444	13875242	126755	LRRC38
1	13875251	13954452	10630	PDPN
1	13991734	14161574	7799	PRDM2
1	14890212	15454544	23254	KAZN
1	15444027	15556974	55092	TMEM51
1	15480691	15533120	727684	C1orf195
1	15538767	15734622	114827	FHAD1
1	15701390	15766839	79180	EFHD2
1	15729937	15783153	11330	CTRC
1	15748222	15808586	63036	CELA2A
1	15767595	15827895	51032	CELA2B
1	15807895	15886285	842	CASP9
1	15818307	15908228	23341	DNAJC16
1	15888193	15946605	79814	AGMAT
1	15908952	15997552	84301	DDI2
1	15951363	15998217	6248	RSC1A1
1	15975826	16071264	23207	PLEKHM2
1	16027808	16077887	284723	SLC25A34
1	16033986	16084292	388595	TMEM82
1	16050254	16123084	54751	FBLIM1
1	16123656	16169194	440567	UQCRHL
1	16139358	16276950	23013	SPEN
1	16258363	16337627	7709	ZBTB17
1	16295730	16343190	149563	C1orf64
1	16313485	16370545	1187	CLCNKA
1	16330522	16380285	27129	HSPB7
1	16335230	16393821	1188	CLCNKB
1	16374263	16435127	348487	FAM131C
1	16440831	16517582	1969	EPHA2
1	16514598	16574104	128272	ARHGEF19
1	16548181	16598659	79363	RSG1
1	16563334	16713986	54455	FBXO42
1	16658524	16734643	26099	SZRD1
1	16715137	16798919	374955	SPATA21
1	16732166	16796584	55707	NECAP2
1	16878921	16975100	55672	NBPF1
1	17071128	17125975	11223	MST1L
1	17213444	17309474	9696	CROCC
1	17290998	17343081	4237	MFAP2
1	17302452	17373467	23400	ATP13A2
1	17335224	17415665	6390	SDHB
1	17383255	17480948	11240	PADI2
1	17496620	17582501	29943	PADI1
1	17540592	17620727	51702	PADI3
1	17599689	17700495	23569	PADI4
1	17663690	17738195	353238	PADI6
1	17723250	17801250	55920	RCC2
1	17831329	18034370	55160	ARHGEF10L
1	18046807	18163558	81569	ACTL8
1	18399239	18714977	84966	IGSF21
1	18772423	18822480	127707	KLHDC7A
1	18922499	19085360	5081	PAX7
1	19156092	19221155	80834	TAS1R2
1	19187923	19264293	8659	ALDH4A1
1	19220773	19317826	126917	IFFO2
1	19390999	19571746	23352	UBR4
1	19532157	19613053	23065	EMC1
1	19543074	19596622	51154	MRTO4
1	19599056	19650280	22977	AKR7A3
1	19603739	19665794	54896	PQLC2
1	19619201	19673640	8574	AKR7A2
1	19655266	19847135	832	CAPZB
1	19888470	19966315	440574	MINOS1
1	19888470	19994949	100532736	MINOS1-NBL1
1	19934722	19994949	4681	NBL1
1	19956779	20017459	3362	HTR6
1	19998705	20161410	255104	TMCO4
1	20130521	20176771	54546	RNF186
1	20173887	20249437	23252	OTUD3
1	20236799	20285110	30814	PLA2G2E
1	20291923	20341932	5320	PLA2G2A
1	20361700	20428394	5322	PLA2G5
1	20429142	20481059	26279	PLA2G2D
1	20430822	20486879	64600	PLA2G2F
1	20477577	20529942	127733	UBXN10
1	20480483	20536687	391013	PLA2G2C
1	20582411	20691387	127731	VWA5B1
1	20798883	20847728	55450	CAMK2N1
1	20815940	20869674	79594	MUL1
1	20843931	20891513	163933	FAM43B
1	20880443	20955400	978	CDA
1	20924947	20988004	65018	PINK1
1	20968259	21023037	1650	DDOST
1	20980506	21079510	57576	KIF17
1	21036224	21094133	400745	SH2D5
1	21059170	21148181	50809	HP1BP3
1	21122784	21538381	8672	EIF4G3
1	21533739	21707034	1889	ECE1
1	21731582	21821393	84224	NBPF3
1	21800857	21914905	249	ALPL
1	21912707	22030856	5909	RAP1GAP
1	21994791	22144688	84196	USP48
1	22103757	22161714	401944	LDLRAD2
1	22138724	22298790	3339	HSPG2
1	22268417	22325847	23436	CELA3B
1	22293148	22349035	10136	CELA3A
1	22344119	22429436	998	CDC42
1	22433797	22504519	54361	WNT4
1	22743343	22867650	9923	ZBTB40
1	22855003	22940087	2046	EPHA8
1	22928117	22976175	712	C1QA
1	22935117	22984603	714	C1QC
1	22944681	22998029	713	C1QB
1	23002330	23251823	2048	EPHB2
1	23269535	23326923	646262	LACTBL1
1	23310940	23420184	23028	KDM1A
1	23327326	23377343	729059	C1orf234
1	23400515	23530351	7798	LUZP1
1	23508387	23556222	3352	HTR1D
1	23621180	23705857	10236	HNRNPR
1	23675940	23731357	80818	ZNF436
1	23697401	23786272	6920	TCEA3
1	23745055	23845750	55616	ASAP3
1	23822919	23892712	1870	E2F2
1	23874420	23921285	3399	ID3
1	23983268	24032915	6135	RPL11
1	24034855	24098549	6924	TCEB3
1	24069875	24124722	57095	PITHD1
1	24082645	24132029	11313	LYPLA2
1	24112088	24162294	2582	GALE
1	24118366	24186949	3155	HMGCL
1	24161571	24229859	2517	FUCA1
1	24190459	24274817	1269	CNR2
1	24251300	24299949	55629	PNRC2
1	24280836	24341953	10772	SRSF10
1	24372530	24473665	127294	MYOM3
1	24436260	24504775	58985	IL22RA1
1	24470646	24548765	163702	IFNLR1
1	24610811	24700970	57822	GRHL3
1	24673488	24776587	90529	STPG1
1	24707244	24809473	57185	NIPAL3
1	24793840	24873510	11123	RCAN3
1	24847566	24945818	400746	NCMAP
1	24934593	25009772	10250	SRRM1
1	25036759	25180815	25932	CLIC4
1	25216001	25326501	864	RUNX3
1	25538766	25594013	25949	SYF2
1	25558739	25608985	57035	RSRP1
1	25563976	25666936	6007	RHD
1	25629788	25698852	23585	TMEM50A
1	25678739	25782363	6006	RHCE
1	25722348	25836698	55219	TMEM57
1	25835075	25905377	26119	LDLRAP1
1	25908958	26122698	57134	MAN1C1
1	26091666	26154713	57190	SEPN1
1	26111396	26169433	56181	MTFR1L
1	26148403	26220949	79000	AUNIP
1	26177974	26232744	164091	PAQR7
1	26200676	26268368	3925	STMN1
1	26276257	26359648	5051	PAFAH2
1	26313270	26372954	2134	EXTL1
1	26354512	26407629	7780	SLC30A2
1	26367795	26429125	84676	TRIM63
1	26402655	26462039	149420	PDIK1L
1	26450510	26499119	79927	FAM110D
1	26461387	26507364	51042	ZNF593
1	26468980	26526376	10256	CNKSR1
1	26482118	26539033	378807	CATSPER4
1	26525643	26615529	64793	CEP85
1	26571212	26618013	83442	SH3BGRL3
1	26598772	26679756	91544	UBXN11
1	26609410	26657014	1043	CD52
1	26638349	26715621	55057	AIM1L
1	26678124	26734266	257101	ZNF683
1	26702268	26766219	79727	LIN28A
1	26723772	26807795	79947	DHDDS
1	26763901	26813133	3151	HMGN2
1	26821248	26911520	6195	RPS6KA1
1	26987521	27118601	8289	ARID1A
1	27079453	27134894	55650	PIGV
1	27118200	27192211	84243	ZDHHC18
1	27154632	27200947	2810	SFN
1	27195872	27251869	54707	GPN2
1	27206978	27261962	63906	GPATCH3
1	27213212	27283362	10726	NUDC
1	27227974	27275567	8431	NR0B2
1	27266046	27321901	126695	KDF1
1	27285194	27337377	388610	TRNP1
1	27321510	27374333	115572	FAM46B
1	27415299	27516621	6548	SLC9A1
1	27526006	27645124	23038	WDTC1
1	27613635	27672891	84065	TMEM222
1	27633482	27690423	84958	SYTL1
1	27671669	27728357	9064	MAP3K6
1	27684147	27732317	2827	GPR3
1	27685600	27736315	8547	FCN3
1	27695589	27744823	388611	CD164L2
1	27720729	27851698	10163	WASF2
1	27850755	27965005	27245	AHDC1
1	27928800	27996727	2268	FGR
1	27982571	28033724	2537	IFI6
1	28017489	28099423	199870	FAM76A
1	28064693	28160963	23673	STX12
1	28122251	28188183	5511	PPP1R8
1	28164053	28223196	9473	THEMIS2
1	28208035	28276308	6118	RPA2
1	28226465	28295668	27293	SMPDL3B
1	28250972	28304607	55113	XKR8
1	28286854	28450148	2140	EYA3
1	28463676	28555447	5724	PTAFR
1	28516789	28594542	22826	DNAJC8
1	28527601	28574616	93974	ATPIF1
1	28550962	28619002	83667	SESN2
1	28620512	28672478	54797	MED18
1	28661092	28836881	65979	PHACTR4
1	28797454	28875708	1104	RCC1
1	28844528	28915057	54952	TRNAU1AP
1	28883711	28931088	115273	RAB42
1	28919608	29004604	6883	TAF12
1	28960239	29052115	10691	GMEB1
1	29028132	29106287	51441	YTHDF2
1	29103653	29200208	4985	OPRD1
1	29178602	29456558	2035	EPB41
1	29435936	29485421	399474	TMEM200B
1	29464249	29543637	6429	SRSF4
1	29509168	29592470	51102	MECR
1	29528027	29663325	10076	PTPRU
1	31174123	31231432	4146	MATN1
1	31195314	31265683	7805	LAPTM5
1	31332312	31416480	9672	SDC3
1	31394352	31573564	9698	PUM1
1	31642591	31747734	79570	NKAIN1
1	31722414	31804644	9410	SNRNP40
1	31734828	31847800	51538	ZCCHC17
1	31828099	31880923	2170	FABP3
1	31847411	31917527	347735	SERINC2
1	32007085	32063287	64129	TINAGL1
1	32048300	32102919	3061	HCRTR1
1	32085462	32145838	553115	PEF1
1	32107847	32204768	1307	COL16A1
1	32182705	32264664	576	BAI2
1	32246022	32316652	90853	SPOCD1
1	32362021	32438988	8073	PTP4A2
1	32444294	32519482	10657	KHDRBS1
1	32503502	32578467	55116	TMEM39B
1	32538643	32652168	23633	KPNA6
1	32610344	32673886	200081	TXLNA
1	32630986	32680991	79140	CCDC28B
1	32636235	32684288	55721	IQCC
1	32639694	32691797	149069	DCDC2B
1	32652970	32707205	8668	EIF3I
1	32671797	32722926	56063	TMEM234
1	32677817	32724461	84734	FAM167B
1	32681839	32761768	3932	LCK
1	32722707	32809224	3065	HDAC1
1	32789429	32836840	65108	MARCKSL1
1	32792861	32839924	81629	TSSK3
1	32816870	32862844	100128071	FAM229A
1	32820233	32895062	55108	BSDC1
1	32895657	32963459	728116	ZBTB8B
1	32969745	33081551	653121	ZBTB8A
1	33077306	33151185	339487	ZBTB8OS
1	33081748	33161812	5928	RBBP4
1	33135506	33203361	81493	SYNC
1	33172511	33250571	57648	KIAA1522
1	33230839	33318633	8565	YARS
1	33248042	33334480	64766	S100PBP
1	33317097	33370247	3208	HPCA
1	33317868	33373093	252995	FNDC5
1	33350195	33401953	113452	TMEM54
1	33392046	33465414	127544	RNF19B
1	33463540	33537512	204	AK2
1	33511713	33596132	113451	AZIN2
1	33601002	33682671	55223	TRIM62
1	33687173	33776320	149076	ZNF362
1	33762366	33821699	127550	A3GALT2
1	33779223	33876194	1912	PHC2
1	33903231	33971995	7579	ZSCAN20
1	33969598	34666443	114784	CSMD2
1	34291075	34340392	127540	HMGB4
1	34597483	34694731	84970	C1orf94
1	35185647	35234113	2709	GJB5
1	35190341	35239325	127534	GJB4
1	35211789	35261967	2707	GJB3
1	35223598	35271348	2701	GJA4
1	35305962	35360417	113444	SMIM12
1	35321036	35430186	58512	DLGAP3
1	35437126	35485948	100506144	ZMYM6NB
1	35441766	35532569	9204	ZMYM6
1	35490386	35591459	79830	ZMYM1
1	35639200	35693743	6421	SFPQ
1	35699567	35897545	9202	ZMYM4
1	35889090	36058037	79932	KIAA0319L
1	35988392	36042380	23154	NCDN
1	36003970	36070927	339488	TFAP2E
1	36055142	36142445	5690	PSMB2
1	36169476	36219790	127703	C1orf216
1	36187712	36270551	63967	CLSPN
1	36238827	36333490	192670	AGO4
1	36313809	36399899	26523	AGO1
1	36361682	36532063	192669	AGO3
1	36514675	36563876	27285	TEKT2
1	36519452	36569533	54936	ADPRHL2
1	36550836	36625685	1296	COL8A2
1	36586565	36656451	55700	MAP7D1
1	36592169	36656654	27095	TRAPPC3
1	36655016	36780957	9967	THRAP3
1	36736993	36796948	79729	SH3D21
1	36777631	36824755	55194	EVA1B
1	36795219	36886528	83931	STK40
1	36849020	36898560	84967	LSM10
1	36873506	36951086	127700	OSCP1
1	36911361	36965040	64960	MRPS15
1	36921643	36983915	1441	CSF3R
1	37251127	37534844	2899	GRIK3
1	37905118	37959978	80149	ZC3H12A
1	37945560	38015420	64769	MEAF6
1	37987519	38042458	7802	DNALI1
1	37990049	38054945	79753	SNIP1
1	38022412	38096586	29889	GNL2
1	38066950	38135595	284654	RSPO1
1	38123072	38185391	55143	CDCA8
1	38137241	38191267	54955	C1orf109
1	38171645	38265824	284656	EPHA10
1	38224773	38277278	149175	MANEAL
1	38238472	38285126	127687	C1orf122
1	38258613	38308865	79693	YRDC
1	38265238	38360292	4520	MTF1
1	38316368	38447729	3633	INPP5B
1	38412651	38490761	10946	SF3A3
1	38443383	38500497	51118	UTP11L
1	38452441	38506187	2275	FHL3
1	38499522	38547450	5453	POU3F1
1	39293868	39360495	64121	RRAGC
1	39318161	39374050	26292	MYCBP
1	39329738	39382298	81025	GJA9
1	39341477	39442502	54933	RHBDL2
1	39421915	39481737	79647	AKIRIN1
1	39456966	39510308	4725	NDUFS5
1	39514838	39962810	23499	MACF1
1	39840175	39892154	643314	KIAA0754
1	39922317	40005541	353500	BMP8A
1	40016484	40077521	8761	PABPC4
1	40079102	40140348	26508	HEYL
1	40114792	40172710	84618	NT5C1A
1	40134319	40192382	51440	HPCAL4
1	40169516	40239586	10450	PPIE
1	40213902	40289533	656	BMP8B
1	40225196	40272020	64064	OXCT2
1	40296705	40384177	54802	TRIT1
1	40351095	40402687	4610	MYCL
1	40385783	40445640	84879	MFSD2A
1	40471254	40548321	10487	CAP1
1	40528381	40598142	5538	PPT1
1	40592040	40716593	6018	RLF
1	40678572	40727365	127391	TMCO2
1	40688721	40769856	10269	ZMPSTE24
1	40756162	40817939	1298	COL9A2
1	40804377	40898998	64744	SMAP2
1	40881336	40939390	65243	ZFP69B
1	40908301	40972015	339559	ZFP69
1	40939432	40992214	64789	EXO5
1	40962232	41023841	127396	ZNF684
1	41076351	41166324	9783	RIMS3
1	41122241	41247275	4802	NFYC
1	41214683	41316124	9132	KCNQ4
1	41316727	41363018	163732	CITED4
1	41409970	41488237	1503	CTPS1
1	41471268	41522427	200172	SLFNL1
1	41482870	41742815	22955	SCMH1
1	41792602	41859263	100132074	FOXO6
1	41934445	41985354	1907	EDN2
1	41962035	42419378	59269	HIVEP3
1	42584091	42631495	2981	GUCA2B
1	42618361	42665395	2980	GUCA2A
1	42632209	42836548	22887	FOXJ3
1	42811467	42899900	284716	RIMKLA
1	42886000	42956938	84217	ZMYND12
1	42887011	42949049	79717	PPCS
1	42965559	43130335	728621	CCDC30
1	43089047	43152429	10465	PPIH
1	43113065	43178020	4904	YBX1
1	43188763	43240925	149461	CLDN19
1	43197915	43251413	79078	C1orf50
1	43202005	43267755	64175	P3H1
1	43218660	43273901	100129924	LOC100129924
1	43247775	43320660	114625	ERMAP
1	43262722	43318059	374969	CCDC23
1	43277243	43328146	51058	ZNF691
1	43381045	43459847	6513	SLC2A1
1	43578593	43632067	440585	FAM183A
1	43603000	43730029	149465	CFAP57
1	43619844	43673241	10969	EBNA1BP2
1	43700664	43749673	128218	TMEM125
1	43731565	43798781	7075	TIE1
1	43737556	43786288	149466	C1orf210
1	43768474	43830135	4352	MPL
1	43789625	43838873	991	CDC20
1	43819067	43868745	64834	ELOVL1
1	43820555	43929918	23334	SZT2
1	43839578	43890483	112950	MED8
1	43906673	43954660	81888	HYI
1	43961546	44099343	5792	PTPRF
1	44080796	44181189	9682	KDM4A
1	44138203	44406837	6487	ST3GAL3
1	44363991	44412912	9048	ARTN
1	44377477	44443694	9670	IPO13
1	44400652	44449043	1802	DPH2
1	44405319	44453972	533	ATP6V0B
1	44409873	44466843	8704	B4GALT2
1	44422279	44472198	149473	CCDC24
1	44452154	44532164	6536	SLC6A9
1	44549521	44610809	128209	KLF17
1	44644124	44696351	55929	DMAP1
1	44676741	44855951	79033	ERI3
1	44835959	45127396	55182	RNF220
1	45105393	45201263	339541	C1orf228
1	45108918	45175280	79639	TMEM53
1	45170489	45243438	11004	KIF2C
1	45206245	45254412	6202	RPS8
1	45231035	45281667	1263	PLK3
1	45239153	45289801	149478	BTBD19
1	45239256	45288426	266675	BEST4
1	45261581	45307957	343521	TCTEX1D4
1	45275515	45343616	8643	PTCH2
1	45306193	45487394	8891	EIF2B3
1	45442804	45491341	7389	UROD
1	45458219	45512027	79654	HECTD3
1	45472075	45707250	57643	ZSWIM5
1	45757544	45804346	84842	HPDL
1	45770341	45819650	114034	TOE1
1	45784913	45841142	4595	MUTYH
1	45799554	45991840	10420	TESK2
1	45930855	45986739	25974	MMACHC
1	45966706	46023562	5052	PRDX1
1	45981454	46045723	10327	AKR1A1
1	46014659	46094578	4678	NASP
1	46075715	46124731	149483	CCDC17
1	46082975	46187302	60313	GPBP1L1
1	46118846	46170108	51249	TMEM69
1	46149997	46251485	3652	IPP
1	46234284	46511796	23139	MAST2
1	46495811	46677167	8503	PIK3R3
1	46605748	46661634	10103	TSPAN1
1	46634005	46696928	541468	LURAP1
1	46644352	46720977	55624	POMGNT1
1	46678366	46754145	8438	RAD54L
1	46734071	46804038	10489	LRRC41
1	46734284	46792449	7388	UQCRH
1	46770848	46840824	387338	NSUN4
1	46824938	46889520	2166	FAAH
1	46937667	46989886	127343	DMBX1
1	47001315	47051887	148930	KNCN
1	47013078	47104966	8569	MKNK1
1	47063386	47117563	148932	MOB3C
1	47090710	47169099	64756	ATPAF1
1	47102504	47149256	374973	TEX38
1	47130830	47219736	9813	EFCAB14
1	47229669	47295021	1580	CYP4B1
1	47384845	47442156	1579	CYP4A11
1	47454239	47526423	260293	CYP4X1
1	47498159	47593992	199974	CYP4Z1
1	47568106	47624526	284541	CYP4A22
1	47639260	47690771	10158	PDZK1IP1
1	47671961	47733007	6886	TAL1
1	47705810	47814819	6491	STIL
1	47764468	47854511	51727	CMPK1
1	47846743	47893724	2301	FOXE3
1	47866688	47916363	2306	FOXD2
1	48216199	48497562	388630	TRABD2B
1	48653356	48724316	200010	SLC5A9
1	48751043	48972880	54558	SPATA6
1	48988526	50524626	84871	AGBL4
1	49183194	49277641	79656	BEND5
1	50478685	50679457	1996	ELAVL4
1	50873222	50924119	63950	DMRTA2
1	50896934	51460936	11124	FAF1
1	51399366	51450309	1031	CDKN2C
1	51532905	51623754	284546	C1orf185
1	51666944	51749119	26994	RNF11
1	51742929	51845788	22996	TTC39A
1	51809934	52019995	2060	EPS15
1	52047545	52264891	114883	OSBPL9
1	52244865	52379609	4898	NRD1
1	52363627	52491436	5865	RAB3B
1	52475803	52556843	51060	TXNDC12
1	52486856	52566388	91408	BTF3L4
1	52487776	52534472	112970	KTI12
1	52572765	52822358	9372	ZFYVE9
1	52806264	52866877	200014	CC2D1B
1	52828500	52905143	4998	ORC1
1	52835218	52893992	84950	PRPF38A
1	52878947	53053762	23318	ZCCHC11
1	53033042	53084723	2882	GPX7
1	53064065	53132737	348378	FAM159A
1	53142013	53199038	65260	COA7
1	53157130	53303013	79699	ZYG11B
1	53273182	53370247	440590	ZYG11A
1	53351581	53422446	55268	ECHDC2
1	53357900	53527289	6342	SCP2
1	53492723	53561174	127435	PODN
1	53542850	53643304	6512	SLC1A7
1	53627100	53689869	1376	CPT2
1	53669771	53721289	54987	C1orf123
1	53682563	53739282	4116	MAGOH
1	53698040	53828821	7804	LRP8
1	53890071	53943158	63948	DMRTB1
1	53961905	54234877	148979	GLIS1
1	54221133	54339225	55706	NDC1
1	54307391	54390487	54432	YIPF1
1	54324860	54386759	1733	DIO1
1	54376998	54443841	115353	LRRC42
1	54377233	54446288	51668	HSPB11
1	54462970	54518859	388633	LDLRAD1
1	54484273	54575416	127428	TCEANC2
1	54487348	54554111	9528	TMEM59
1	54594667	54653679	200008	CDCP2
1	54628026	54700746	606495	CYB5RL
1	54630839	54694056	51253	MRPL37
1	54681103	54907068	23648	SSBP3
1	54978806	55110417	26027	ACOT11
1	55064849	55124200	338094	FAM151A
1	55072412	55185940	374977	MROH7
1	55146494	55218328	7268	TTC4
1	55212570	55265226	25973	PARS2
1	55236735	55317937	163747	C1orf177
1	55236751	55301941	55001	TTC22
1	55305299	55387921	1718	DHCR24
1	55411336	55467966	199964	TMEM61
1	55429616	55484465	7809	BSND
1	55470148	55540526	255738	PCSK9
1	55522031	55716039	23358	USP24
1	56950418	57080257	8613	PPAP2B
1	57075989	57191008	5563	PRKAA2
1	57174476	57320369	199920	C1orf168
1	57285442	57393894	731	C8A
1	57384882	57466813	732	C8B
1	57453578	58751211	1600	DAB1
1	58936390	59047471	115209	OMA1
1	59031094	59078166	4070	TACSTD2
1	59110410	59200747	114803	MYSM1
1	59236462	59284785	3725	JUN
1	59727624	60238402	55277	FGGY
1	60245532	60352050	51361	HOOK1
1	60348979	60427423	1573	CYP2J2
1	60446065	60574442	127795	C1orf87
1	61507945	61938460	4774	NFIA
1	62136718	62226095	83941	TM2D1
1	62173148	62639591	10207	INADL
1	62625473	62688001	54596	L1TD1
1	62691836	62820083	163782	KANK4
1	62866974	62927475	7398	USP1
1	62910396	63189039	85440	DOCK7
1	63028157	63081976	27329	ANGPTL3
1	63214776	63340941	84938	ATG4C
1	63753729	63800797	27022	FOXD3
1	63798260	63914233	29929	ALG6
1	63896440	64023944	23421	ITGB3BP
1	63953971	64048364	84455	EFCAB7
1	64023946	64135916	5236	PGM1
1	64204689	64657179	4919	ROR1
1	64634489	64720027	148581	UBE2U
1	64901475	65168741	57685	CACHD1
1	65175777	65308914	55225	RAVER2
1	65288905	65467187	3716	JAK1
1	65578231	65707828	205	AK4
1	65695376	65891552	9829	DNAJC6
1	65851130	65911690	54741	LEPROT
1	65851334	66113176	3953	LEPR
1	66223192	66850262	5142	PDE4B
1	66964824	67220768	84251	SGIP1
1	67183139	67254730	200132	TCTEX1D1
