HD	region	gene
67	14	chr1:155.02-156.05	RUSC1-AS1
68	14	chr1:155.02-156.05	EFNA3
69	14	chr1:155.02-156.05	RAB25
70	14	chr1:155.02-156.05	SYT11
71	14	chr1:155.02-156.05	DCST2
72	15	chr1:160.70-160.93	SLAMF7
73	15	chr1:160.70-160.93	LY9
74	15	chr1:160.70-160.93	CD48
75	15	chr1:160.70-160.93	CD244
76	15	chr1:160.70-160.93	ITLN1
77	15	chr1:160.70-160.93	F11R
78	15	chr1:160.70-160.93	ITLN2
79	16	chr1:161.28-161.68	FCGR2A
80	16	chr1:161.28-161.68	SDHC
81	16	chr1:161.28-161.68	FCGR3A
82	16	chr1:161.28-161.68	FCGR2C
83	16	chr1:161.28-161.68	FCRLA
84	16	chr1:161.28-161.68	FCRLB
85	16	chr1:161.28-161.68	FCGR2B
86	16	chr1:161.28-161.68	FCGR3B
87	16	chr1:161.28-161.68	MPZ
88	16	chr1:161.28-161.68	PCP4L1
89	16	chr1:161.28-161.68	DUSP12
90	16	chr1:161.28-161.68	HSPA6
91	16	chr1:161.28-161.68	CFAP126
92	17	chr1:172.65-172.94	FASLG
93	21	chr1:197.31-197.94	LHX9
94	21	chr1:197.31-197.94	CRB1
95	21	chr1:197.31-197.94	DENND1B
96	21	chr1:197.31-197.94	C1orf53
97	22	chr1:200.85-201.04	CAMSAP2
98	22	chr1:200.85-201.04	KIF21B
99	22	chr1:200.85-201.04	GPR25
100	22	chr1:200.85-201.04	ASCL5
101	22	chr1:200.85-201.04	CACNA1S
102	22	chr1:200.85-201.04	C1orf106
103	23	chr1:206.80-207.03	EIF2D
104	23	chr1:206.80-207.03	IL24
105	23	chr1:206.80-207.03	IL19
106	23	chr1:206.80-207.03	FCMR
107	23	chr1:206.80-207.03	RASSF5
108	23	chr1:206.80-207.03	MAPKAPK2
109	23	chr1:206.80-207.03	IL10
110	23	chr1:206.80-207.03	DYRK3
111	23	chr1:206.80-207.03	IL20
112	28	chr2:43.45-43.94	THADA
113	28	chr2:43.45-43.94	PLEKHH2
114	28	chr2:43.45-43.94	ZFP36L2
115	28	chr2:43.45-43.94	C1GALT1C1L
116	29	chr2:60.91-61.89	KIAA1841
117	29	chr2:60.91-61.89	PUS10
118	29	chr2:60.91-61.89	PEX13
119	29	chr2:60.91-61.89	PAPOLG
120	29	chr2:60.91-61.89	AHSA2
121	29	chr2:60.91-61.89	USP34
122	29	chr2:60.91-61.89	XPO1
123	29	chr2:60.91-61.89	REL
124	29	chr2:60.91-61.89	C2orf74
125	30	chr2:62.48-62.65	B3GNT2
126	31	chr2:65.40-65.72	RAB1A
127	31	chr2:65.40-65.72	SPRED2
128	31	chr2:65.40-65.72	ACTR2
129	35	chr2:102.86-103.21	IL1RL1
130	35	chr2:102.86-103.21	SLC9A2
131	35	chr2:102.86-103.21	SLC9A4
132	35	chr2:102.86-103.21	IL18R1
133	35	chr2:102.86-103.21	IL1RL2
134	35	chr2:102.86-103.21	IL18RAP
135	36	chr2:162.96-163.36	KCNH7
136	36	chr2:162.96-163.36	GCA
137	36	chr2:162.96-163.36	DPP4
138	36	chr2:162.96-163.36	FAP
139	36	chr2:162.96-163.36	GCG
140	36	chr2:162.96-163.36	IFIH1
141	38	chr2:191.87-192.01	STAT4
142	38	chr2:191.87-192.01	STAT1
143	38	chr2:191.87-192.01	GLS
144	42	chr2:231.08-231.24	SP110
145	42	chr2:231.08-231.24	SP100
146	42	chr2:231.08-231.24	SP140L
147	42	chr2:231.08-231.24	SP140
148	43	chr2:234.14-234.50	INPP5D
149	43	chr2:234.14-234.50	UGT1A8
150	43	chr2:234.14-234.50	UGT1A10
151	43	chr2:234.14-234.50	ATG16L1
152	43	chr2:234.14-234.50	DGKD
153	43	chr2:234.14-234.50	SAG
154	43	chr2:234.14-234.50	USP40
155	44	chr2:241.56-241.66	CAPN10
156	44	chr2:241.56-241.66	GPR35
157	44	chr2:241.56-241.66	KIF1A
158	44	chr2:241.56-241.66	AQP12A
159	44	chr2:241.56-241.66	AQP12B
160	44	chr2:241.56-241.66	RNPEPL1
161	50	chr3:48.41-51.38	FBXW12
162	50	chr3:48.41-51.38	PRKAR2A
163	50	chr3:48.41-51.38	RBM6
164	50	chr3:48.41-51.38	HYAL1
165	50	chr3:48.41-51.38	IP6K1
166	50	chr3:48.41-51.38	CYB561D2
167	50	chr3:48.41-51.38	SLC26A6
168	50	chr3:48.41-51.38	GPX1
169	50	chr3:48.41-51.38	PLXNB1
170	50	chr3:48.41-51.38	BSN
171	50	chr3:48.41-51.38	NCKIPSD
172	50	chr3:48.41-51.38	MST1
173	50	chr3:48.41-51.38	TMEM115
174	50	chr3:48.41-51.38	CISH
175	50	chr3:48.41-51.38	MST1R
176	50	chr3:48.41-51.38	ZMYND10
177	50	chr3:48.41-51.38	LAMB2
178	50	chr3:48.41-51.38	SHISA5
179	50	chr3:48.41-51.38	C3orf18
180	50	chr3:48.41-51.38	HYAL3
181	50	chr3:48.41-51.38	CCDC71
182	50	chr3:48.41-51.38	NPRL2
183	50	chr3:48.41-51.38	COL7A1
184	50	chr3:48.41-51.38	DAG1
185	50	chr3:48.41-51.38	ATRIP
186	50	chr3:48.41-51.38	CACNA2D2
187	50	chr3:48.41-51.38	MON1A
188	50	chr3:48.41-51.38	RHOA
189	50	chr3:48.41-51.38	RASSF1
190	50	chr3:48.41-51.38	GNAI2
191	50	chr3:48.41-51.38	UCN2
192	50	chr3:48.41-51.38	LSMEM2
193	50	chr3:48.41-51.38	USP4
194	50	chr3:48.41-51.38	TMA7
195	50	chr3:48.41-51.38	USP19
196	50	chr3:48.41-51.38	CCDC36
197	50	chr3:48.41-51.38	AMIGO3
198	50	chr3:48.41-51.38	CELSR3
199	50	chr3:48.41-51.38	TRAIP
200	50	chr3:48.41-51.38	ARIH2
201	50	chr3:48.41-51.38	QARS
202	50	chr3:48.41-51.38	C3orf84
203	50	chr3:48.41-51.38	GNAT1
204	50	chr3:48.41-51.38	IP6K2
205	50	chr3:48.41-51.38	SEMA3F
206	50	chr3:48.41-51.38	HYAL2
207	50	chr3:48.41-51.38	UQCRC1
208	50	chr3:48.41-51.38	TCTA
209	50	chr3:48.41-51.38	GMPPB
210	50	chr3:48.41-51.38	QRICH1
211	50	chr3:48.41-51.38	TREX1
212	50	chr3:48.41-51.38	TUSC2
213	50	chr3:48.41-51.38	SLC38A3
214	50	chr3:48.41-51.38	AMT
215	50	chr3:48.41-51.38	RNF123
216	50	chr3:48.41-51.38	RBM5
217	50	chr3:48.41-51.38	SEMA3B
218	50	chr3:48.41-51.38	IMPDH2
219	50	chr3:48.41-51.38	KLHDC8B
220	50	chr3:48.41-51.38	NICN1
221	50	chr3:48.41-51.38	ARIH2OS
222	50	chr3:48.41-51.38	NDUFAF3
223	50	chr3:48.41-51.38	WDR6
224	50	chr3:48.41-51.38	NAT6
225	50	chr3:48.41-51.38	MANF
226	50	chr3:48.41-51.38	SPINK8
227	50	chr3:48.41-51.38	SLC25A20
228	50	chr3:48.41-51.38	MAPKAPK3
229	50	chr3:48.41-51.38	DALRD3
230	50	chr3:48.41-51.38	CAMKV
231	50	chr3:48.41-51.38	APEH
232	50	chr3:48.41-51.38	FAM212A
233	50	chr3:48.41-51.38	CCDC51
234	50	chr3:48.41-51.38	RBM15B
235	50	chr3:48.41-51.38	C3orf62
236	50	chr3:48.41-51.38	PFKFB4
237	50	chr3:48.41-51.38	P4HTM
238	50	chr3:48.41-51.38	DOCK3
239	50	chr3:48.41-51.38	HEMK1
240	50	chr3:48.41-51.38	CDHR4
241	50	chr3:48.41-51.38	UBA7
242	50	chr3:48.41-51.38	TMEM89
243	50	chr3:48.41-51.38	IFRD2
244	56	chr4:102.70-103.09	BANK1
245	60	chr5:40.29-40.82	CARD6
246	60	chr5:40.29-40.82	RPL37
247	60	chr5:40.29-40.82	PTGER4
248	60	chr5:40.29-40.82	TTC33
249	60	chr5:40.29-40.82	PRKAA1
250	61	chr5:55.41-55.45	ANKRD55
251	62	chr5:72.46-72.58	TMEM171
252	62	chr5:72.46-72.58	TMEM174
253	63	chr5:95.98-96.41	LNPEP
254	63	chr5:95.98-96.41	ERAP1
255	63	chr5:95.98-96.41	LIX1
256	63	chr5:95.98-96.41	CAST
257	63	chr5:95.98-96.41	ERAP2
258	65	chr5:131.44-132.14	SEPT8
259	65	chr5:131.44-132.14	RAD50
260	65	chr5:131.44-132.14	CSF2
261	65	chr5:131.44-132.14	PDLIM4
262	65	chr5:131.44-132.14	IL13
263	65	chr5:131.44-132.14	IL4
264	65	chr5:131.44-132.14	SLC22A5
265	65	chr5:131.44-132.14	P4HA2
266	65	chr5:131.44-132.14	CCNI2
267	65	chr5:131.44-132.14	KIF3A
268	65	chr5:131.44-132.14	SHROOM1
269	65	chr5:131.44-132.14	SLC22A4
270	65	chr5:131.44-132.14	IRF1
271	65	chr5:131.44-132.14	IL3
272	65	chr5:131.44-132.14	SOWAHA
273	65	chr5:131.44-132.14	IL5
274	66	chr5:141.41-141.64	NDFIP1
275	66	chr5:141.41-141.64	SPRY4
276	66	chr5:141.41-141.64	RNF14
277	66	chr5:141.41-141.64	GNPDA1
278	67	chr5:150.04-150.39	GPX3
279	67	chr5:150.04-150.39	MYOZ3
280	67	chr5:150.04-150.39	TNIP1
281	67	chr5:150.04-150.39	SYNPO
282	67	chr5:150.04-150.39	ZNF300
283	67	chr5:150.04-150.39	DCTN4
284	67	chr5:150.04-150.39	RBM22
285	67	chr5:150.04-150.39	SMIM3
286	67	chr5:150.04-150.39	IRGM
287	69	chr5:158.52-158.84	RNF145
288	69	chr5:158.52-158.84	IL12B
289	69	chr5:158.52-158.84	EBF1
290	69	chr5:158.52-158.84	UBLCP1
291	71	chr5:173.23-173.54	HMP19
292	71	chr5:173.23-173.54	CPEB4
293	71	chr5:173.23-173.54	C5orf47
294	73	chr6:20.52-20.83	E2F3
295	73	chr6:20.52-20.83	CDKAL1
296	76	chr6:90.81-91.04	BACH2
297	77	chr6:106.39-106.63	PRDM1
298	77	chr6:106.39-106.63	ATG5
299	78	chr6:111.39-111.97	REV3L
300	78	chr6:111.39-111.97	FYN
301	78	chr6:111.39-111.97	RPF2
302	78	chr6:111.39-111.97	TRAF3IP2
303	78	chr6:111.39-111.97	SLC16A10
304	78	chr6:111.39-111.97	KIAA1919
305	79	chr6:126.44-127.41	CENPW
306	79	chr6:126.44-127.41	RSPO3
307	80	chr6:127.95-128.34	THEMIS
308	80	chr6:127.95-128.34	PTPRK
309	80	chr6:127.95-128.34	C6orf58
310	81	chr6:137.88-138.28	TNFAIP3
311	82	chr6:159.32-159.54	FNDC1
312	82	chr6:159.32-159.54	C6orf99
313	82	chr6:159.32-159.54	TAGAP
314	82	chr6:159.32-159.54	RSPH3
315	83	chr6:167.34-167.55	GPR31
316	83	chr6:167.34-167.55	CCR6
317	83	chr6:167.34-167.55	FGFR1OP
318	83	chr6:167.34-167.55	RNASET2
319	83	chr6:167.34-167.55	TCP10L2
320	84	chr7:26.66-27.21	HOXA9
321	84	chr7:26.66-27.21	HOXA11
322	84	chr7:26.66-27.21	HOXA1
323	84	chr7:26.66-27.21	SKAP2
324	84	chr7:26.66-27.21	HOXA7
325	84	chr7:26.66-27.21	HOXA6
326	84	chr7:26.66-27.21	HOXA2
327	84	chr7:26.66-27.21	HOXA3
328	84	chr7:26.66-27.21	HOXA13
329	84	chr7:26.66-27.21	HOXA10
330	84	chr7:26.66-27.21	HOXA4
331	84	chr7:26.66-27.21	C7orf71
332	84	chr7:26.66-27.21	HOXA5
333	85	chr7:28.12-28.27	JAZF1
334	87	chr7:50.25-50.37	IKZF1
335	87	chr7:50.25-50.37	C7orf72
336	91	chr7:107.48-107.60	LAMB1
337	91	chr7:107.48-107.60	DLD
338	91	chr7:107.48-107.60	SLC26A3
339	92	chr7:128.55-128.78	TSPAN33
340	92	chr7:128.55-128.78	TNPO3
341	92	chr7:128.55-128.78	ATP6V1F
342	92	chr7:128.55-128.78	KCP
343	92	chr7:128.55-128.78	IRF5
344	92	chr7:128.55-128.78	LOC100130705
345	102	chr9:4.94-5.27	INSL6
346	102	chr9:4.94-5.27	RLN2
347	102	chr9:4.94-5.27	INSL4
348	102	chr9:4.94-5.27	JAK2
349	104	chr9:117.47-117.70	TNFSF15
350	104	chr9:117.47-117.70	TNFSF8
351	104	chr9:117.47-117.70	LOC100505478
352	106	chr9:139.13-139.42	DNLZ
353	106	chr9:139.13-139.42	NOTCH1
354	106	chr9:139.13-139.42	INPP5E
355	106	chr9:139.13-139.42	SEC16A
356	106	chr9:139.13-139.42	C9orf163
357	106	chr9:139.13-139.42	LHX3
358	106	chr9:139.13-139.42	SNAPC4
359	106	chr9:139.13-139.42	SDCCAG3
360	106	chr9:139.13-139.42	CARD9
361	106	chr9:139.13-139.42	GPSM1
362	106	chr9:139.13-139.42	PMPCA
363	106	chr9:139.13-139.42	QSOX2
364	107	chr10:6.03-6.17	IL15RA
365	107	chr10:6.03-6.17	PFKFB3
366	107	chr10:6.03-6.17	IL2RA
367	107	chr10:6.03-6.17	RBM17
368	109	chr10:30.69-30.81	MAP3K8
369	109	chr10:30.69-30.81	MTPAP
370	110	chr10:35.18-35.88	CREM
371	110	chr10:35.18-35.88	FZD8
372	110	chr10:35.18-35.88	CUL2
373	110	chr10:35.18-35.88	CCNY
374	110	chr10:35.18-35.88	GJD4
375	112	chr10:59.82-60.14	IPMK
376	112	chr10:59.82-60.14	TFAM
377	112	chr10:59.82-60.14	CISD1
378	112	chr10:59.82-60.14	UBE2D1
379	113	chr10:64.34-64.57	EGR2
380	113	chr10:64.34-64.57	ADO
381	114	chr10:81.02-81.10	PPIF
382	114	chr10:81.02-81.10	ZMIZ1
383	114	chr10:81.02-81.10	ZCCHC24
384	116	chr10:101.27-101.33	SLC25A28
385	116	chr10:101.27-101.33	NKX2-3
386	120	chr11:60.72-60.84	CD5
387	120	chr11:60.72-60.84	TMEM132A
388	120	chr11:60.72-60.84	TMEM109
389	120	chr11:60.72-60.84	CD6
390	120	chr11:60.72-60.84	PRPF19
391	120	chr11:60.72-60.84	SLC15A3
392	121	chr11:76.08-76.34	LRRC32
393	121	chr11:76.08-76.34	LOC100506127
394	121	chr11:76.08-76.34	PRKRIR
395	121	chr11:76.08-76.34	C11orf30
396	122	chr11:114.26-114.57	C11orf71
397	122	chr11:114.26-114.57	NXPE1
398	122	chr11:114.26-114.57	RBM7
399	122	chr11:114.26-114.57	NXPE4
400	122	chr11:114.26-114.57	NXPE2
401	122	chr11:114.26-114.57	REXO2
402	123	chr11:118.34-118.77	KMT2A
403	123	chr11:118.34-118.77	BCL9L
404	123	chr11:118.34-118.77	TMEM25
405	123	chr11:118.34-118.77	TREH
406	123	chr11:118.34-118.77	ARCN1
407	123	chr11:118.34-118.77	PHLDB1
408	123	chr11:118.34-118.77	DDX6
409	123	chr11:118.34-118.77	IFT46
410	123	chr11:118.34-118.77	CXCR5
411	123	chr11:118.34-118.77	TTC36
412	129	chr12:40.35-40.83	SLC2A13
413	129	chr12:40.35-40.83	LRRK2
414	129	chr12:40.35-40.83	MUC19
415	132	chr12:68.43-68.51	IFNG
416	138	chr13:44.24-44.63	LACC1
417	138	chr13:44.24-44.63	ENOX1
418	138	chr13:44.24-44.63	CCDC122
419	139	chr13:100.04-100.11	UBAC2
420	139	chr13:100.04-100.11	TM9SF2
421	142	chr14:88.29-88.64	GALC
422	142	chr14:88.29-88.64	KCNK10
423	142	chr14:88.29-88.64	GPR65
424	145	chr15:38.81-38.97	RASGRP1
425	145	chr15:38.81-38.97	C15orf53
426	145	chr15:38.81-38.97	FAM98B
427	146	chr15:67.41-67.47	SMAD3
428	146	chr15:67.41-67.47	AAGAB
429	149	chr16:11.31-11.48	PRM2
430	149	chr16:11.31-11.48	PRM1
431	149	chr16:11.31-11.48	CLEC16A
432	149	chr16:11.31-11.48	SOCS1
433	149	chr16:11.31-11.48	PRM3
434	149	chr16:11.31-11.48	RMI2
435	149	chr16:11.31-11.48	TNP2
436	150	chr16:28.30-29.03	SH2B1
437	150	chr16:28.30-29.03	CD19
438	150	chr16:28.30-29.03	NUPR1
439	150	chr16:28.30-29.03	SPNS1
440	150	chr16:28.30-29.03	ATP2A1
441	150	chr16:28.30-29.03	ATXN2L
442	150	chr16:28.30-29.03	LAT
443	150	chr16:28.30-29.03	IL27
444	150	chr16:28.30-29.03	CLN3
445	150	chr16:28.30-29.03	NPIPB9
446	150	chr16:28.30-29.03	SULT1A1
447	150	chr16:28.30-29.03	SULT1A2
448	150	chr16:28.30-29.03	SBK1
449	150	chr16:28.30-29.03	APOBR
450	150	chr16:28.30-29.03	TUFM
451	150	chr16:28.30-29.03	NFATC2IP
452	150	chr16:28.30-29.03	NPIPB6
453	150	chr16:28.30-29.03	RABEP2
454	150	chr16:28.30-29.03	NPIPB8
455	150	chr16:28.30-29.03	CCDC101
456	151	chr16:30.46-31.38	KAT8
457	151	chr16:30.46-31.38	ZNF688
458	151	chr16:30.46-31.38	ZNF771
459	151	chr16:30.46-31.38	ZNF48
460	151	chr16:30.46-31.38	ITGAM
461	151	chr16:30.46-31.38	ZNF668
462	151	chr16:30.46-31.38	ITGAX
463	151	chr16:30.46-31.38	BCL7C
464	151	chr16:30.46-31.38	FUS
465	151	chr16:30.46-31.38	CTF1
466	151	chr16:30.46-31.38	SRCAP
467	151	chr16:30.46-31.38	STX4
468	151	chr16:30.46-31.38	FBXL19
469	151	chr16:30.46-31.38	STX1B
470	151	chr16:30.46-31.38	PHKG2
471	151	chr16:30.46-31.38	TMEM265
472	151	chr16:30.46-31.38	PYCARD
473	151	chr16:30.46-31.38	ZNF764
474	151	chr16:30.46-31.38	HSD3B7
475	151	chr16:30.46-31.38	C16orf93
476	151	chr16:30.46-31.38	PRSS8
477	151	chr16:30.46-31.38	VKORC1
478	151	chr16:30.46-31.38	BCKDK
479	151	chr16:30.46-31.38	ITGAL
480	151	chr16:30.46-31.38	RNF40
481	151	chr16:30.46-31.38	ZNF646
482	151	chr16:30.46-31.38	ITGAD
483	151	chr16:30.46-31.38	ZNF785
484	151	chr16:30.46-31.38	ORAI3
485	151	chr16:30.46-31.38	ZNF629
486	151	chr16:30.46-31.38	PRSS36
487	151	chr16:30.46-31.38	PRR14
488	151	chr16:30.46-31.38	LOC730183
489	151	chr16:30.46-31.38	FBRS
490	151	chr16:30.46-31.38	ZNF747
491	151	chr16:30.46-31.38	ZNF768
492	151	chr16:30.46-31.38	PYDC1
493	151	chr16:30.46-31.38	DCTPP1
494	151	chr16:30.46-31.38	SEPHS2
495	151	chr16:30.46-31.38	PRSS53
496	151	chr16:30.46-31.38	TRIM72
497	151	chr16:30.46-31.38	SETD1A
498	151	chr16:30.46-31.38	ZNF689
499	152	chr16:50.69-50.85	CYLD
500	152	chr16:50.69-50.85	NKD1
501	152	chr16:50.69-50.85	NOD2
502	152	chr16:50.69-50.85	SNX20
503	157	chr17:25.88-26.27	NOS2
504	157	chr17:25.88-26.27	LGALS9
505	157	chr17:25.88-26.27	KSR1
506	157	chr17:25.88-26.27	LYRM9
507	158	chr17:32.50-32.68	CCL11
508	158	chr17:32.50-32.68	CCL13
509	158	chr17:32.50-32.68	CCL8
510	158	chr17:32.50-32.68	CCL7
511	158	chr17:32.50-32.68	CCL2
512	158	chr17:32.50-32.68	CCL1
513	158	chr17:32.50-32.68	ASIC2
514	159	chr17:37.38-38.24	ERBB2
515	159	chr17:37.38-38.24	IKZF3
516	159	chr17:37.38-38.24	CSF3
517	159	chr17:37.38-38.24	GSDMA
518	159	chr17:37.38-38.24	PNMT
519	159	chr17:37.38-38.24	FBXL20
520	159	chr17:37.38-38.24	MIEN1
521	159	chr17:37.38-38.24	CDK12
522	159	chr17:37.38-38.24	TCAP
523	159	chr17:37.38-38.24	NEUROD2
524	159	chr17:37.38-38.24	RPL19
525	159	chr17:37.38-38.24	GRB7
526	159	chr17:37.38-38.24	STARD3
527	159	chr17:37.38-38.24	STAC2
528	159	chr17:37.38-38.24	MED24
529	159	chr17:37.38-38.24	MED1
530	159	chr17:37.38-38.24	GSDMB
531	159	chr17:37.38-38.24	ZPBP2
532	159	chr17:37.38-38.24	THRA
533	159	chr17:37.38-38.24	CACNB1
534	159	chr17:37.38-38.24	PPP1R1B
535	159	chr17:37.38-38.24	PSMD3
536	159	chr17:37.38-38.24	LRRC3C
537	159	chr17:37.38-38.24	NR1D1
538	159	chr17:37.38-38.24	MSL1
539	159	chr17:37.38-38.24	PGAP3
540	159	chr17:37.38-38.24	ORMDL3
541	161	chr17:40.33-40.93	STAT5A
542	161	chr17:40.33-40.93	PTRF
543	161	chr17:40.33-40.93	ATP6V0A1
544	161	chr17:40.33-40.93	HSD17B1
545	161	chr17:40.33-40.93	HCRT
546	161	chr17:40.33-40.93	VPS25
547	161	chr17:40.33-40.93	COASY
548	161	chr17:40.33-40.93	PLEKHH3
549	161	chr17:40.33-40.93	GHDC
550	161	chr17:40.33-40.93	FAM134C
551	161	chr17:40.33-40.93	TUBG1
552	161	chr17:40.33-40.93	NAGLU
553	161	chr17:40.33-40.93	RAB5C
554	161	chr17:40.33-40.93	RAMP2
555	161	chr17:40.33-40.93	COA3
556	161	chr17:40.33-40.93	MLX
557	161	chr17:40.33-40.93	TUBG2
558	161	chr17:40.33-40.93	BECN1
559	161	chr17:40.33-40.93	PSMC3IP
560	161	chr17:40.33-40.93	CCR10
561	161	chr17:40.33-40.93	EZH1
562	161	chr17:40.33-40.93	KCNH4
563	161	chr17:40.33-40.93	STAT5B
564	161	chr17:40.33-40.93	STAT3
565	161	chr17:40.33-40.93	CNTNAP1
566	161	chr17:40.33-40.93	WNK4
567	161	chr17:40.33-40.93	CNTD1
568	162	chr18:12.74-12.92	PSMG2
569	162	chr18:12.74-12.92	PTPN2
570	162	chr18:12.74-12.92	CEP76
571	162	chr18:12.74-12.92	SEH1L
572	165	chr19:1.09-1.18	SBNO2
573	165	chr19:1.09-1.18	GPX4
574	165	chr19:1.09-1.18	HMHA1
575	165	chr19:1.09-1.18	POLR2E
576	165	chr19:1.09-1.18	STK11
577	165	chr19:1.09-1.18	ABCA7
578	166	chr19:10.40-10.63	MRPL4
579	166	chr19:10.40-10.63	KEAP1
580	166	chr19:10.40-10.63	FDX1L
581	166	chr19:10.40-10.63	ICAM3
582	166	chr19:10.40-10.63	TYK2
583	166	chr19:10.40-10.63	ZGLP1
584	166	chr19:10.40-10.63	CDC37
585	166	chr19:10.40-10.63	ATG4D
586	166	chr19:10.40-10.63	PDE4A
587	166	chr19:10.40-10.63	ICAM4
588	166	chr19:10.40-10.63	ICAM1
589	166	chr19:10.40-10.63	KRI1
590	166	chr19:10.40-10.63	CDKN2D
591	166	chr19:10.40-10.63	ICAM5
592	166	chr19:10.40-10.63	S1PR5
593	166	chr19:10.40-10.63	RAVER1
594	169	chr19:49.09-49.28	NTN5
595	169	chr19:49.09-49.28	DBP
596	169	chr19:49.09-49.28	BCAT2
597	169	chr19:49.09-49.28	RASIP1
598	169	chr19:49.09-49.28	FAM83E
599	169	chr19:49.09-49.28	CA11
600	169	chr19:49.09-49.28	FUT2
601	169	chr19:49.09-49.28	RPL18
602	169	chr19:49.09-49.28	HSD17B14
603	169	chr19:49.09-49.28	SPHK2
604	169	chr19:49.09-49.28	SULT2B1
605	169	chr19:49.09-49.28	SPACA4
606	169	chr19:49.09-49.28	FGF21
607	169	chr19:49.09-49.28	MAMSTR
608	169	chr19:49.09-49.28	FUT1
609	169	chr19:49.09-49.28	IZUMO1
610	171	chr20:43.06-43.26	TTPAL
611	171	chr20:43.06-43.26	HNF4A
612	171	chr20:43.06-43.26	PKIG
613	171	chr20:43.06-43.26	ADA
614	171	chr20:43.06-43.26	SERINC3
615	171	chr20:43.06-43.26	C20orf62
616	173	chr20:44.59-44.78	CD40
617	173	chr20:44.59-44.78	ZNF335
618	173	chr20:44.59-44.78	PCIF1
619	173	chr20:44.59-44.78	NCOA5
620	173	chr20:44.59-44.78	SLC12A5
621	173	chr20:44.59-44.78	MMP9
622	173	chr20:44.59-44.78	CDH22
623	175	chr20:62.20-62.40	PTK6
624	175	chr20:62.20-62.40	TNFRSF6B
625	175	chr20:62.20-62.40	SLC2A4RG
626	175	chr20:62.20-62.40	HELZ2
627	175	chr20:62.20-62.40	ARFRP1
628	175	chr20:62.20-62.40	RTEL1
629	175	chr20:62.20-62.40	SRMS
630	175	chr20:62.20-62.40	LIME1
631	175	chr20:62.20-62.40	ZGPAT
632	175	chr20:62.20-62.40	GMEB2
633	175	chr20:62.20-62.40	ZBTB46
634	175	chr20:62.20-62.40	C20orf195
635	175	chr20:62.20-62.40	STMN3
636	175	chr20:62.20-62.40	PPDPF
637	179	chr21:45.59-45.70	ICOSLG
638	179	chr21:45.59-45.70	C21orf2
639	179	chr21:45.59-45.70	DNMT3L
640	179	chr21:45.59-45.70	C21orf33
